"";"month.of.tweet";"day.of.tweet";"day.of.week";"hour.of.tweet";"period.of.tweet";"text";"route";"routetype";"disrupt";"disrupt_reason";"reasongroup"
"3431";"1";"24";"Wednesday";"22";"Evening";"509 harbourfront is turning back b/w at fleet loop due to stalled streetcar. customers can utilize 511 bathurst route. ";"509";"streetcar";"no service";"to stalled streetcar";"stalled streetcar"
"3432";"1";"24";"Wednesday";"22";"Evening";"509 harbourfront is turning back b/w at fleet loop due to stalled streetcar. customers can utilize 511 bathurst route. ";"511";"streetcar";"no service";"to stalled streetcar";"stalled streetcar"
"3433";"1";"24";"Wednesday";"20";"Evening";"service holding on line 2 westbound at keele station due to police investigation on board train.";"line 2";"subway";"delay";"to police investigation on board train";"police/security"
"3434";"1";"24";"Wednesday";"20";"Evening";"service holding on line 1 southbound at rosedale station due to medical emergency on board train.";"line 1";"subway";"delay";"to medical emergency on board train";"medical"
"3435";"1";"24";"Wednesday";"19";"Evening Rush";"service holding on line 1 northbound at north york centre station due to medical emergency on board train.";"line 1";"subway";"delay";"to medical emergency on board train";"medical"
"3436";"1";"24";"Wednesday";"19";"Evening Rush";"98 willowdale-senlac diverting both ways via bishop maxome cummer due to collision investigation at willowdale and bishop.";"98";"bus";"detour";"to collision investigation at willowdale and bishop";"police/security"
"3437";"1";"24";"Wednesday";"19";"Evening Rush";"elevator alert york mills station concourse to bus level out of service.";"york mills";"elevator";"elevator down";NA;NA
"3438";"1";"24";"Wednesday";"17";"Evening Rush";"service holding on line 1 northbound at wellesley station due to emergency alarm activated on train.";"line 1";"subway";"delay";"to emergency alarm activated on train";"emergency alarm"
"3439";"1";"24";"Wednesday";"17";"Evening Rush";"service holding on line 2 eastbound at royal york due to emergency alarm activated on train.";"line 2";"subway";"delay";"to emergency alarm activated on train";"emergency alarm"
"3440";"1";"24";"Wednesday";"17";"Evening Rush";"504 king and 514 cherry holding westbound at king and university due to tps investigation on board streetcar.";"504";"streetcar";"delay";"to tps investigation on board streetcar";"police/security"
"3441";"1";"24";"Wednesday";"17";"Evening Rush";"504 king and 514 cherry holding westbound at king and university due to tps investigation on board streetcar.";"514";"streetcar";"delay";"to tps investigation on board streetcar";"police/security"
"3442";"1";"24";"Wednesday";"16";"Evening Rush";"service suspended on line 1 eglinton to union due to power off situation at bloor-yonge station.";"line 1";"subway";"no service";"to power off situation at bloor-yonge station";"power problem"
"3443";"1";"24";"Wednesday";"15";"Midday";"6 bay diverting southbound via belmont yonge yorkville due to collision at bay and davenport.";"6";"bus";"detour";"to collision at bay and davenport";"collision on the road"
"3444";"1";"24";"Wednesday";"13";"Midday";"53 steeles east diverting eastbound via nipigon dumont due to collision at steeles and yonge.";"53";"bus";"detour";"to collision at steeles and yonge";"collision on the road"
"3445";"1";"24";"Wednesday";"10";"Midday";"506 carlton holding eastbound at howard park and indian due to stalled streetcar. ";"506";"streetcar";"delay";"to stalled streetcar";"stalled streetcar"
"3446";"1";"24";"Wednesday";" 9";"Morning Rush";"line 1 longer than normal travel time northbound osgoode to lawrencewest stations due to signal problems at lawrencewest station. ";"line 1";"subway";"delay";"to signal problems at lawrencewest station";"signal problem"
"3447";"1";"24";"Wednesday";" 6";"Morning Rush";"line 2 train service holding eastbound at high park station due to mechanical difficulties on board train. response personnel have been dispatched to scene. ";"line 2";"subway";"delay";"to mechanical difficulties on board train";"mechanical"
"3448";"1";"24";"Wednesday";" 1";"Late night";"line 1 trains are currently holding northbound at wilson station due to medical emergency on train. ";"line 1";"subway";"delay";"to medical emergency on train";"medical"
"3449";"1";"24";"Wednesday";" 0";"Late night";"line 2 trains are holding eastbound at keele station due to toronto police investigation. ";"line 2";"subway";"delay";"to toronto police investigation";"police/security"
"3450";"1";"23";"Tuesday";"21";"Evening";"line 1 trains are currently holding northbound at osgoode station due to medical emergency on train. ";"line 1";"subway";"delay";"to medical emergency on train";"medical"
"3451";"1";"23";"Tuesday";"19";"Evening Rush";"elevator alert dufferin station westbound platform to concourse out of service. ";"dufferin";"elevator";"elevator down";NA;NA
"3452";"1";"23";"Tuesday";"18";"Evening Rush";"501 queen diverting eastbound via broadview gerrard coxwell due to toronto fire investigation on board streetcar on queen at pape. ";"501";"streetcar";"detour";"to toronto fire investigation on board streetcar on queen at pape";"fire"
"3453";"1";"23";"Tuesday";"18";"Evening Rush";"69 warden south diverting southbound via mack wolcott butterworth due to autos in collision on danforth at warden. ";"69";"bus";"detour";"to autos in collision on danforth at warden";"collision on the road"
